Front;Back;LessonID;TopicTags;Family
Empirical;Empirisch;9;academic,adjectives;empirical
Chuffed;Erfreut (UK Slang);10;slang,adjectives;chuffed
Knackered;Fix und fertig (UK Slang);10;slang,adjectives;knackered
Gutted;Am Boden zerstört (UK Slang);10;slang,adjectives;gutted
Dodgy;Zwielichtig (UK Slang);10;slang,adjectives;dodgy
Skive;Blaumachen (UK Slang);10;slang,verbs;skive
Zeitgeist;Zeitgeist;11;culture,nouns;zeitgeist
Schadenfreude;Schadenfreude;11;culture,nouns;schadenfreude
Doppelganger;Doppelgänger;11;culture,nouns;doppelganger
Wanderlust;Fernweh;11;culture,nouns;wanderlust
Angst;Angst (existenzielle);11;culture,nouns;angst
Quintessential;Essentiell / Typisch;12;mastery,adjectives;quintessential
Pinnacle;Gipfel / Höhepunkt;12;mastery,nouns;pinnacle
Apex;Spitze;12;mastery,nouns;apex
Zenith;Zenit;12;mastery,nouns;zenith
Culmination;Höhepunkt / Abschluss;12;mastery,nouns;culmination
ss;ss;1;auto_frequency,source_google,auto_no_translation;ss
runs;runs;2;auto_frequency,source_google,auto_no_translation;runs
trends;trends;3;auto_frequency,source_google,auto_no_translation;trends
sexo;sexo;4;auto_frequency,source_google,auto_no_translation;sexo
ap;ap;5;auto_frequency,source_google,auto_no_translation;ap
patterns;patterns;6;auto_frequency,source_google,auto_no_translation;patterns
boxes;boxes;7;auto_frequency,source_google,auto_no_translation;boxes
louisiana;louisiana;8;auto_frequency,source_google,auto_no_translation;louisiana
hills;hills;9;auto_frequency,source_google,auto_no_translation;hills
javascript;javascript;10;auto_frequency,source_google,auto_no_translation;javascript
nm;nm;11;auto_frequency,source_google,auto_no_translation;nm
advisor;advisor;12;auto_frequency,source_google,auto_no_translation;advisor
mn;mn;1;auto_frequency,source_google,auto_no_translation;mn
nd;nd;2;auto_frequency,source_google,auto_no_translation;nd
wilson;wilson;3;auto_frequency,source_google,auto_no_translation;wilson
irish;irish;4;auto_frequency,source_google,auto_no_translation;irish
certificates;certificates;5;auto_frequency,source_google,auto_no_translation;certificates
objectives;objectives;6;auto_frequency,source_google,auto_no_translation;objectives
stations;stations;7;auto_frequency,source_google,auto_no_translation;stations
suggested;suggested;8;auto_frequency,source_google,auto_no_translation;suggested
gps;gps;9;auto_frequency,source_google,auto_no_translation;gps
op;op;10;auto_frequency,source_google,auto_no_translation;op
acc;acc;11;auto_frequency,source_google,auto_no_translation;acc
greatest;greatest;12;auto_frequency,source_google,auto_no_translation;greatest
firms;firms;1;auto_frequency,source_google,auto_no_translation;firms
structures;structures;2;auto_frequency,source_google,auto_no_translation;structures
encyclopedia;encyclopedia;3;auto_frequency,source_google,auto_no_translation;encyclopedia
charts;charts;4;auto_frequency,source_google,auto_no_translation;charts
continuing;continuing;5;auto_frequency,source_google,auto_no_translation;continuing
census;census;6;auto_frequency,source_google,auto_no_translation;census
interracial;interracial;7;auto_frequency,source_google,auto_no_translation;interracial
tn;tn;8;auto_frequency,source_google,auto_no_translation;tn
dick;dick;9;auto_frequency,source_google,auto_no_translation;dick
suppliers;suppliers;10;auto_frequency,source_google,auto_no_translation;suppliers
compact;compact;11;auto_frequency,source_google,auto_no_translation;compact
lights;lights;12;auto_frequency,source_google,auto_no_translation;lights
tracking;tracking;1;auto_frequency,source_google,auto_no_translation;tracking
keeping;keeping;2;auto_frequency,source_google,auto_no_translation;keeping
receiving;receiving;3;auto_frequency,source_google,auto_no_translation;receiving
matches;matches;4;auto_frequency,source_google,auto_no_translation;matches
engines;engines;5;auto_frequency,source_google,auto_no_translation;engines
discussed;discussed;6;auto_frequency,source_google,auto_no_translation;discussed
stephen;stephen;7;auto_frequency,source_google,auto_no_translation;stephen
elizabeth;elizabeth;8;auto_frequency,source_google,auto_no_translation;elizabeth
reservations;reservations;9;auto_frequency,source_google,auto_no_translation;reservations
playstation;playstation;10;auto_frequency,source_google,auto_no_translation;playstation
greek;greek;11;auto_frequency,source_google,auto_no_translation;greek
managing;managing;12;auto_frequency,source_google,auto_no_translation;managing
annotation;annotation;1;auto_frequency,source_google,auto_no_translation;annotation
differences;differences;2;auto_frequency,source_google,auto_no_translation;differences
walking;walking;3;auto_frequency,source_google,auto_no_translation;walking
newest;newest;4;auto_frequency,source_google,auto_no_translation;newest
gnu;gnu;5;auto_frequency,source_google,auto_no_translation;gnu
happened;happened;6;auto_frequency,source_google,auto_no_translation;happened
expressed;expressed;7;auto_frequency,source_google,auto_no_translation;expressed
jeff;jeff;8;auto_frequency,source_google,auto_no_translation;jeff
lesbians;lesbians;9;auto_frequency,source_google,auto_no_translation;lesbians
ben;ben;10;auto_frequency,source_google,auto_no_translation;ben
aol;aol;11;auto_frequency,source_google,auto_no_translation;aol
ce;ce;12;auto_frequency,source_google,auto_no_translation;ce
managers;managers;1;auto_frequency,source_google,auto_no_translation;managers
modules;modules;2;auto_frequency,source_google,auto_no_translation;modules
sweden;sweden;3;auto_frequency,source_google,auto_no_translation;sweden
conducted;conducted;4;auto_frequency,source_google,auto_no_translation;conducted
versions;versions;5;auto_frequency,source_google,auto_no_translation;versions
knows;knows;6;auto_frequency,source_google,auto_no_translation;knows
mississippi;mississippi;7;auto_frequency,source_google,auto_no_translation;mississippi
requested;requested;8;auto_frequency,source_google,auto_no_translation;requested
citizens;citizens;9;auto_frequency,source_google,auto_no_translation;citizens
connecticut;connecticut;10;auto_frequency,source_google,auto_no_translation;connecticut
personals;personals;11;auto_frequency,source_google,auto_no_translation;personals
holding;holding;12;auto_frequency,source_google,auto_no_translation;holding
kevin;kevin;1;auto_frequency,source_google,auto_no_translation;kevin
supporting;supporting;2;auto_frequency,source_google,auto_no_translation;supporting
assigned;assigned;3;auto_frequency,source_google,auto_no_translation;assigned
jordan;jordan;4;auto_frequency,source_google,auto_no_translation;jordan
collections;collections;5;auto_frequency,source_google,auto_no_translation;collections
ages;ages;6;auto_frequency,source_google,auto_no_translation;ages
virgin;virgin;7;auto_frequency,source_google,auto_no_translation;virgin
raised;raised;8;auto_frequency,source_google,auto_no_translation;raised
directed;directed;9;auto_frequency,source_google,auto_no_translation;directed
dealers;dealers;10;auto_frequency,source_google,auto_no_translation;dealers
searching;searching;11;auto_frequency,source_google,auto_no_translation;searching
helping;helping;12;auto_frequency,source_google,auto_no_translation;helping
perl;perl;1;auto_frequency,source_google,auto_no_translation;perl
affected;affected;2;auto_frequency,source_google,auto_no_translation;affected
lib;lib;3;auto_frequency,source_google,auto_no_translation;lib
expenses;expenses;4;auto_frequency,source_google,auto_no_translation;expenses
ab;ab;5;auto_frequency,source_google,auto_no_translation;ab
anderson;anderson;6;auto_frequency,source_google,auto_no_translation;anderson
utc;utc;7;auto_frequency,source_google,auto_no_translation;utc
characteristics;characteristics;8;auto_frequency,source_google,auto_no_translation;characteristics
der;der;9;auto_frequency,source_google,auto_no_translation;der
experiences;experiences;10;auto_frequency,source_google,auto_no_translation;experiences
albums;albums;11;auto_frequency,source_google,auto_no_translation;albums
cheats;cheats;12;auto_frequency,source_google,auto_no_translation;cheats
verzeichnis;verzeichnis;1;auto_frequency,source_google,auto_no_translation;verzeichnis
contracts;contracts;2;auto_frequency,source_google,auto_no_translation;contracts
guests;guests;3;auto_frequency,source_google,auto_no_translation;guests
hosted;hosted;4;auto_frequency,source_google,auto_no_translation;hosted
diseases;diseases;5;auto_frequency,source_google,auto_no_translation;diseases
concerning;concerning;6;auto_frequency,source_google,auto_no_translation;concerning
developers;developers;7;auto_frequency,source_google,auto_no_translation;developers
tony;tony;8;auto_frequency,source_google,auto_no_translation;tony
neighborhood;neighborhood;9;auto_frequency,source_google,auto_no_translation;neighborhood
nevada;nevada;10;auto_frequency,source_google,auto_no_translation;nevada
kits;kits;11;auto_frequency,source_google,auto_no_translation;kits
thailand;thailand;12;auto_frequency,source_google,auto_no_translation;thailand
variables;variables;1;auto_frequency,source_google,auto_no_translation;variables
continues;continues;2;auto_frequency,source_google,auto_no_translation;continues
tracks;tracks;3;auto_frequency,source_google,auto_no_translation;tracks
advisory;advisory;4;auto_frequency,source_google,auto_no_translation;advisory
cam;cam;5;auto_frequency,source_google,auto_no_translation;cam
template;template;6;auto_frequency,source_google,auto_no_translation;template
grants;grants;7;auto_frequency,source_google,auto_no_translation;grants
responses;responses;8;auto_frequency,source_google,auto_no_translation;responses
atlantic;atlantic;9;auto_frequency,source_google,auto_no_translation;atlantic
circumstances;circumstances;10;auto_frequency,source_google,auto_no_translation;circumstances
edward;edward;11;auto_frequency,source_google,auto_no_translation;edward
ram;ram;12;auto_frequency,source_google,auto_no_translation;ram
leaving;leaving;1;auto_frequency,source_google,auto_no_translation;leaving
appliances;appliances;2;auto_frequency,source_google,auto_no_translation;appliances
matt;matt;3;auto_frequency,source_google,auto_no_translation;matt
speaking;speaking;4;auto_frequency,source_google,auto_no_translation;speaking
sponsors;sponsors;5;auto_frequency,source_google,auto_no_translation;sponsors
fox;fox;6;auto_frequency,source_google,auto_no_translation;fox
unlimited;unlimited;7;auto_frequency,source_google,auto_no_translation;unlimited
sizes;sizes;8;auto_frequency,source_google,auto_no_translation;sizes
entered;entered;9;auto_frequency,source_google,auto_no_translation;entered
iran;iran;10;auto_frequency,source_google,auto_no_translation;iran
keys;keys;11;auto_frequency,source_google,auto_no_translation;keys
checking;checking;12;auto_frequency,source_google,auto_no_translation;checking
costa;costa;1;auto_frequency,source_google,auto_no_translation;costa
belgium;belgium;2;auto_frequency,source_google,auto_no_translation;belgium
printable;printable;3;auto_frequency,source_google,auto_no_translation;printable
acts;acts;4;auto_frequency,source_google,auto_no_translation;acts
mesh;mesh;5;auto_frequency,source_google,auto_no_translation;mesh
crafts;crafts;6;auto_frequency,source_google,auto_no_translation;crafts
hardcover;hardcover;7;auto_frequency,source_google,auto_no_translation;hardcover
observed;observed;8;auto_frequency,source_google,auto_no_translation;observed
dean;dean;9;auto_frequency,source_google,auto_no_translation;dean
setup;setup;10;auto_frequency,source_google,auto_no_translation;setup
glossary;glossary;11;auto_frequency,source_google,auto_no_translation;glossary
fiscal;fiscal;12;auto_frequency,source_google,auto_no_translation;fiscal
styles;styles;1;auto_frequency,source_google,auto_no_translation;styles
denver;denver;2;auto_frequency,source_google,auto_no_translation;denver
unix;unix;3;auto_frequency,source_google,auto_no_translation;unix
filled;filled;4;auto_frequency,source_google,auto_no_translation;filled
channels;channels;5;auto_frequency,source_google,auto_no_translation;channels
ericsson;ericsson;6;auto_frequency,source_google,auto_no_translation;ericsson
appendix;appendix;7;auto_frequency,source_google,auto_no_translation;appendix
blues;blues;8;auto_frequency,source_google,auto_no_translation;blues
hampshire;hampshire;9;auto_frequency,source_google,auto_no_translation;hampshire
supplier;supplier;10;auto_frequency,source_google,auto_no_translation;supplier
cables;cables;11;auto_frequency,source_google,auto_no_translation;cables
bluetooth;bluetooth;12;auto_frequency,source_google,auto_no_translation;bluetooth
controlled;controlled;1;auto_frequency,source_google,auto_no_translation;controlled
authorities;authorities;2;auto_frequency,source_google,auto_no_translation;authorities
dental;dental;3;auto_frequency,source_google,auto_no_translation;dental
killed;killed;4;auto_frequency,source_google,auto_no_translation;killed
representatives;representatives;5;auto_frequency,source_google,auto_no_translation;representatives
starts;starts;6;auto_frequency,source_google,auto_no_translation;starts
causes;causes;7;auto_frequency,source_google,auto_no_translation;causes
arkansas;arkansas;8;auto_frequency,source_google,auto_no_translation;arkansas
attractions;attractions;9;auto_frequency,source_google,auto_no_translation;attractions
learned;learned;10;auto_frequency,source_google,auto_no_translation;learned
transactions;transactions;11;auto_frequency,source_google,auto_no_translation;transactions
explorer;explorer;12;auto_frequency,source_google,auto_no_translation;explorer
attached;attached;1;auto_frequency,source_google,auto_no_translation;attached
opened;opened;2;auto_frequency,source_google,auto_no_translation;opened
tm;tm;3;auto_frequency,source_google,auto_no_translation;tm
authorized;authorized;4;auto_frequency,source_google,auto_no_translation;authorized
britain;britain;5;auto_frequency,source_google,auto_no_translation;britain
scores;scores;6;auto_frequency,source_google,auto_no_translation;scores
financing;financing;7;auto_frequency,source_google,auto_no_translation;financing
sp;sp;8;auto_frequency,source_google,auto_no_translation;sp
adopted;adopted;9;auto_frequency,source_google,auto_no_translation;adopted
weblog;weblog;10;auto_frequency,source_google,auto_no_translation;weblog
specialty;specialty;11;auto_frequency,source_google,auto_no_translation;specialty
bears;bears;12;auto_frequency,source_google,auto_no_translation;bears
jean;jean;1;auto_frequency,source_google,auto_no_translation;jean
hop;hop;2;auto_frequency,source_google,auto_no_translation;hop
carrier;carrier;3;auto_frequency,source_google,auto_no_translation;carrier
edited;edited;4;auto_frequency,source_google,auto_no_translation;edited
jewish;jewish;5;auto_frequency,source_google,auto_no_translation;jewish
meter;meter;6;auto_frequency,source_google,auto_no_translation;meter
linked;linked;7;auto_frequency,source_google,auto_no_translation;linked
portland;portland;8;auto_frequency,source_google,auto_no_translation;portland
interviews;interviews;9;auto_frequency,source_google,auto_no_translation;interviews
concepts;concepts;10;auto_frequency,source_google,auto_no_translation;concepts
nh;nh;11;auto_frequency,source_google,auto_no_translation;nh
lessons;lessons;12;auto_frequency,source_google,auto_no_translation;lessons
begins;begins;1;auto_frequency,source_google,auto_no_translation;begins
alerts;alerts;2;auto_frequency,source_google,auto_no_translation;alerts
treated;treated;3;auto_frequency,source_google,auto_no_translation;treated
mysql;mysql;4;auto_frequency,source_google,auto_no_translation;mysql
classified;classified;5;auto_frequency,source_google,auto_no_translation;classified
relating;relating;6;auto_frequency,source_google,auto_no_translation;relating
fm;fm;7;auto_frequency,source_google,auto_no_translation;fm
lewis;lewis;8;auto_frequency,source_google,auto_no_translation;lewis
howard;howard;9;auto_frequency,source_google,auto_no_translation;howard
offline;offline;10;auto_frequency,source_google,auto_no_translation;offline
leaves;leaves;11;auto_frequency,source_google,auto_no_translation;leaves
clearance;clearance;12;auto_frequency,source_google,auto_no_translation;clearance
connections;connections;1;auto_frequency,source_google,auto_no_translation;connections
inventory;inventory;2;auto_frequency,source_google,auto_no_translation;inventory
converter;converter;3;auto_frequency,source_google,auto_no_translation;converter
organisation;organisation;4;auto_frequency,source_google,auto_no_translation;organisation
babe;babe;5;auto_frequency,source_google,auto_no_translation;babe
checks;checks;6;auto_frequency,source_google,auto_no_translation;checks
reached;reached;7;auto_frequency,source_google,auto_no_translation;reached
becoming;becoming;8;auto_frequency,source_google,auto_no_translation;becoming
blowjob;blowjob;9;auto_frequency,source_google,auto_no_translation;blowjob
safari;safari;10;auto_frequency,source_google,auto_no_translation;safari
indicated;indicated;11;auto_frequency,source_google,auto_no_translation;indicated
legs;legs;12;auto_frequency,source_google,auto_no_translation;legs
sam;sam;1;auto_frequency,source_google,auto_no_translation;sam
securities;securities;2;auto_frequency,source_google,auto_no_translation;securities
allen;allen;3;auto_frequency,source_google,auto_no_translation;allen
pdt;pdt;4;auto_frequency,source_google,auto_no_translation;pdt
enabled;enabled;5;auto_frequency,source_google,auto_no_translation;enabled
montana;montana;6;auto_frequency,source_google,auto_no_translation;montana
tested;tested;7;auto_frequency,source_google,auto_no_translation;tested
adapter;adapter;8;auto_frequency,source_google,auto_no_translation;adapter
node;node;9;auto_frequency,source_google,auto_no_translation;node
dimensions;dimensions;10;auto_frequency,source_google,auto_no_translation;dimensions
lock;lock;11;auto_frequency,source_google,auto_no_translation;lock
micro;micro;12;auto_frequency,source_google,auto_no_translation;micro
colleges;colleges;1;auto_frequency,source_google,auto_no_translation;colleges
laptops;laptops;2;auto_frequency,source_google,auto_no_translation;laptops
showed;showed;3;auto_frequency,source_google,auto_no_translation;showed
challenges;challenges;4;auto_frequency,source_google,auto_no_translation;challenges
editors;editors;5;auto_frequency,source_google,auto_no_translation;editors
mens;mens;6;auto_frequency,source_google,auto_no_translation;mens
threads;threads;7;auto_frequency,source_google,auto_no_translation;threads
brothers;brothers;8;auto_frequency,source_google,auto_no_translation;brothers
recognition;recognition;9;auto_frequency,source_google,auto_no_translation;recognition
presents;presents;10;auto_frequency,source_google,auto_no_translation;presents
ref;ref;11;auto_frequency,source_google,auto_no_translation;ref
dolls;dolls;12;auto_frequency,source_google,auto_no_translation;dolls
navy;navy;1;auto_frequency,source_google,auto_no_translation;navy
consumers;consumers;2;auto_frequency,source_google,auto_no_translation;consumers
limits;limits;3;auto_frequency,source_google,auto_no_translation;limits
manchester;manchester;4;auto_frequency,source_google,auto_no_translation;manchester
weapons;weapons;5;auto_frequency,source_google,auto_no_translation;weapons
contributions;contributions;6;auto_frequency,source_google,auto_no_translation;contributions
db;db;7;auto_frequency,source_google,auto_no_translation;db
czech;czech;8;auto_frequency,source_google,auto_no_translation;czech
resulting;resulting;9;auto_frequency,source_google,auto_no_translation;resulting
cambridge;cambridge;10;auto_frequency,source_google,auto_no_translation;cambridge
increases;increases;11;auto_frequency,source_google,auto_no_translation;increases
ultra;ultra;12;auto_frequency,source_google,auto_no_translation;ultra
idaho;idaho;1;auto_frequency,source_google,auto_no_translation;idaho
ph;ph;2;auto_frequency,source_google,auto_no_translation;ph
potter;potter;3;auto_frequency,source_google,auto_no_translation;potter
plays;plays;4;auto_frequency,source_google,auto_no_translation;plays
bulletin;bulletin;5;auto_frequency,source_google,auto_no_translation;bulletin
ia;ia;6;auto_frequency,source_google,auto_no_translation;ia
pt;pt;7;auto_frequency,source_google,auto_no_translation;pt
indicates;indicates;8;auto_frequency,source_google,auto_no_translation;indicates
oxford;oxford;9;auto_frequency,source_google,auto_no_translation;oxford
adam;adam;10;auto_frequency,source_google,auto_no_translation;adam
epinions;epinions;11;auto_frequency,source_google,auto_no_translation;epinions
committed;committed;12;auto_frequency,source_google,auto_no_translation;committed
databases;databases;1;auto_frequency,source_google,auto_no_translation;databases
psp;psp;2;auto_frequency,source_google,auto_no_translation;psp
ha;ha;3;auto_frequency,source_google,auto_no_translation;ha
eating;eating;4;auto_frequency,source_google,auto_no_translation;eating
planned;planned;5;auto_frequency,source_google,auto_no_translation;planned
watching;watching;6;auto_frequency,source_google,auto_no_translation;watching
lodge;lodge;7;auto_frequency,source_google,auto_no_translation;lodge
messenger;messenger;8;auto_frequency,source_google,auto_no_translation;messenger
ds;ds;9;auto_frequency,source_google,auto_no_translation;ds
discounts;discounts;10;auto_frequency,source_google,auto_no_translation;discounts
sterling;sterling;11;auto_frequency,source_google,auto_no_translation;sterling
sessions;sessions;12;auto_frequency,source_google,auto_no_translation;sessions
kernel;kernel;1;auto_frequency,source_google,auto_no_translation;kernel
boobs;boobs;2;auto_frequency,source_google,auto_no_translation;boobs
stocks;stocks;3;auto_frequency,source_google,auto_no_translation;stocks
buyers;buyers;4;auto_frequency,source_google,auto_no_translation;buyers
journals;journals;5;auto_frequency,source_google,auto_no_translation;journals
gray;gray;6;auto_frequency,source_google,auto_no_translation;gray
ea;ea;7;auto_frequency,source_google,auto_no_translation;ea
jennifer;jennifer;8;auto_frequency,source_google,auto_no_translation;jennifer
antonio;antonio;9;auto_frequency,source_google,auto_no_translation;antonio
charged;charged;10;auto_frequency,source_google,auto_no_translation;charged
taiwan;taiwan;11;auto_frequency,source_google,auto_no_translation;taiwan
und;und;12;auto_frequency,source_google,auto_no_translation;und
chosen;chosen;1;auto_frequency,source_google,auto_no_translation;chosen
demo;demo;2;auto_frequency,source_google,auto_no_translation;demo
greece;greece;3;auto_frequency,source_google,auto_no_translation;greece
lg;lg;4;auto_frequency,source_google,auto_no_translation;lg
swiss;swiss;5;auto_frequency,source_google,auto_no_translation;swiss
sarah;sarah;6;auto_frequency,source_google,auto_no_translation;sarah
clark;clark;7;auto_frequency,source_google,auto_no_translation;clark
publishers;publishers;8;auto_frequency,source_google,auto_no_translation;publishers
nights;nights;9;auto_frequency,source_google,auto_no_translation;nights
caribbean;caribbean;10;auto_frequency,source_google,auto_no_translation;caribbean
nebraska;nebraska;11;auto_frequency,source_google,auto_no_translation;nebraska
foods;foods;12;auto_frequency,source_google,auto_no_translation;foods
gourmet;gourmet;1;auto_frequency,source_google,auto_no_translation;gourmet
orleans;orleans;2;auto_frequency,source_google,auto_no_translation;orleans
nfl;nfl;3;auto_frequency,source_google,auto_no_translation;nfl
remaining;remaining;4;auto_frequency,source_google,auto_no_translation;remaining
avatar;avatar;5;auto_frequency,source_google,auto_no_translation;avatar
gary;gary;6;auto_frequency,source_google,auto_no_translation;gary
depending;depending;7;auto_frequency,source_google,auto_no_translation;depending
hundreds;hundreds;8;auto_frequency,source_google,auto_no_translation;hundreds
rome;rome;9;auto_frequency,source_google,auto_no_translation;rome
arab;arab;10;auto_frequency,source_google,auto_no_translation;arab
lincoln;lincoln;11;auto_frequency,source_google,auto_no_translation;lincoln
helped;helped;12;auto_frequency,source_google,auto_no_translation;helped
purchased;purchased;1;auto_frequency,source_google,auto_no_translation;purchased
visiting;visiting;2;auto_frequency,source_google,auto_no_translation;visiting
performing;performing;3;auto_frequency,source_google,auto_no_translation;performing
collected;collected;4;auto_frequency,source_google,auto_no_translation;collected
nw;nw;5;auto_frequency,source_google,auto_no_translation;nw
bands;bands;6;auto_frequency,source_google,auto_no_translation;bands
ff;ff;7;auto_frequency,source_google,auto_no_translation;ff
millions;millions;8;auto_frequency,source_google,auto_no_translation;millions
dildo;dildo;9;auto_frequency,source_google,auto_no_translation;dildo
guinea;guinea;10;auto_frequency,source_google,auto_no_translation;guinea
findings;findings;11;auto_frequency,source_google,auto_no_translation;findings
featuring;featuring;12;auto_frequency,source_google,auto_no_translation;featuring
iso;iso;1;auto_frequency,source_google,auto_no_translation;iso
clicking;clicking;2;auto_frequency,source_google,auto_no_translation;clicking
scheduled;scheduled;3;auto_frequency,source_google,auto_no_translation;scheduled
polls;polls;4;auto_frequency,source_google,auto_no_translation;polls
misc;misc;5;auto_frequency,source_google,auto_no_translation;misc
calculator;calculator;6;auto_frequency,source_google,auto_no_translation;calculator
alan;alan;7;auto_frequency,source_google,auto_no_translation;alan
sending;sending;8;auto_frequency,source_google,auto_no_translation;sending
jason;jason;9;auto_frequency,source_google,auto_no_translation;jason
holdem;holdem;10;auto_frequency,source_google,auto_no_translation;holdem
catholic;catholic;11;auto_frequency,source_google,auto_no_translation;catholic
oak;oak;12;auto_frequency,source_google,auto_no_translation;oak
vat;vat;1;auto_frequency,source_google,auto_no_translation;vat
vancouver;vancouver;2;auto_frequency,source_google,auto_no_translation;vancouver
seemed;seemed;3;auto_frequency,source_google,auto_no_translation;seemed
spyware;spyware;4;auto_frequency,source_google,auto_no_translation;spyware
packaging;packaging;5;auto_frequency,source_google,auto_no_translation;packaging
jose;jose;6;auto_frequency,source_google,auto_no_translation;jose
jane;jane;7;auto_frequency,source_google,auto_no_translation;jane
pakistan;pakistan;8;auto_frequency,source_google,auto_no_translation;pakistan
ps;ps;9;auto_frequency,source_google,auto_no_translation;ps
northwest;northwest;10;auto_frequency,source_google,auto_no_translation;northwest
finder;finder;11;auto_frequency,source_google,auto_no_translation;finder
periods;periods;12;auto_frequency,source_google,auto_no_translation;periods
tasks;tasks;1;auto_frequency,source_google,auto_no_translation;tasks
attacks;attacks;2;auto_frequency,source_google,auto_no_translation;attacks
kim;kim;3;auto_frequency,source_google,auto_no_translation;kim
wallpaper;wallpaper;4;auto_frequency,source_google,auto_no_translation;wallpaper
merchandise;merchandise;5;auto_frequency,source_google,auto_no_translation;merchandise
const;const;6;auto_frequency,source_google,auto_no_translation;const
doors;doors;7;auto_frequency,source_google,auto_no_translation;doors
symptoms;symptoms;8;auto_frequency,source_google,auto_no_translation;symptoms
resorts;resorts;9;auto_frequency,source_google,auto_no_translation;resorts
biggest;biggest;10;auto_frequency,source_google,auto_no_translation;biggest
baltimore;baltimore;11;auto_frequency,source_google,auto_no_translation;baltimore
gateway;gateway;12;auto_frequency,source_google,auto_no_translation;gateway
ky;ky;1;auto_frequency,source_google,auto_no_translation;ky
dont;dont;2;auto_frequency,source_google,auto_no_translation;dont
alumni;alumni;3;auto_frequency,source_google,auto_no_translation;alumni
candidates;candidates;4;auto_frequency,source_google,auto_no_translation;candidates
charlotte;charlotte;5;auto_frequency,source_google,auto_no_translation;charlotte
ordered;ordered;6;auto_frequency,source_google,auto_no_translation;ordered
happens;happens;7;auto_frequency,source_google,auto_no_translation;happens
preferences;preferences;8;auto_frequency,source_google,auto_no_translation;preferences
bruce;bruce;9;auto_frequency,source_google,auto_no_translation;bruce
themes;themes;10;auto_frequency,source_google,auto_no_translation;themes
powers;powers;11;auto_frequency,source_google,auto_no_translation;powers
br;br;12;auto_frequency,source_google,auto_no_translation;br
bits;bits;1;auto_frequency,source_google,auto_no_translation;bits
focused;focused;2;auto_frequency,source_google,auto_no_translation;focused
egypt;egypt;3;auto_frequency,source_google,auto_no_translation;egypt
hollywood;hollywood;4;auto_frequency,source_google,auto_no_translation;hollywood
wikipedia;wikipedia;5;auto_frequency,source_google,auto_no_translation;wikipedia
cellular;cellular;6;auto_frequency,source_google,auto_no_translation;cellular
norway;norway;7;auto_frequency,source_google,auto_no_translation;norway
vermont;vermont;8;auto_frequency,source_google,auto_no_translation;vermont
asking;asking;9;auto_frequency,source_google,auto_no_translation;asking
blocks;blocks;10;auto_frequency,source_google,auto_no_translation;blocks
lo;lo;11;auto_frequency,source_google,auto_no_translation;lo
